iter	Passed	Remaining
0	1	106
1	2	105
2	3	104
3	4	97
4	5	97
5	6	94
6	6	92
7	7	91
8	9	91
9	10	91
10	11	89
11	12	89
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	71
30	31	70
31	32	69
32	33	67
33	34	67
34	35	66
35	36	65
36	37	63
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	100	0
